Rank,Player,High School,Position,Height / Weight,Rating
2342,Ethan Chargois,N/A,PF,6-7 / 225,87
2352,Nana Akenten,N/A,SG,6-6 / 200,87
2362,Damari Milstead,N/A,PG,6-1 / 160,87
2372,Galin Smith,N/A,C,6-9.5 / 220,87
2382,Connor McCaffery,N/A,SF,6-4 / 175,87
2392,Jhivvan Jackson,N/A,PG,5-10 / 160,87
2402,Derrick Walker,N/A,PF,6-8 / 255,87
2412,Hannes Polla,N/A,C,6-11 / 265,87
2422,Cameron Mack,N/A,PG,6-3 / 165,87
2432,Clyde Trapp,N/A,SG,6-5 / 188,87
2442,Roberto Gittens,N/A,SF,6-5 / 200,87
2452,PJ Horne,N/A,PF,6-6 / 220,87
2462,Curtis Haywood II,N/A,SG,6-4 / 187,87
2472,Jaylen Butz,N/A,PF,6-9 / 205,87
