Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2014,31,Devon Saddler,DEL,28,37.0,19.7,6.8,15.5,.439,1.7,4.6,.367,4.5,6.3,.710,1.1,3.2,4.3,3.6,0.9,0.3,2.2,2.2
2014,32,Isiah Umipig,SEA,30,33.1,19.6,6.2,15.8,.389,3.5,9.6,.369,3.7,4.5,.828,0.6,2.1,2.7,3.6,1.1,0.0,3.3,2.6
2014,33,John Brown,HP,31,31.8,19.5,7.2,13.3,.545,0.0,0.2,.000,5.0,6.7,.745,3.4,4.3,7.7,1.9,1.5,1.6,1.6,2.5
2014,34,Jelani Hewitt,GASO,34,33.9,19.4,6.2,15.3,.406,2.5,6.9,.360,4.5,5.4,.832,0.9,3.5,4.4,3.1,2.2,0.1,3.0,2.3
2014,35,Davon Usher,DEL,35,36.6,19.4,6.2,13.7,.451,2.4,6.7,.363,4.6,6.2,.743,1.5,4.6,6.1,1.8,1.8,0.4,2.0,2.6
2014,36,Jalan West,NSU,31,32.9,19.4,5.9,12.8,.463,2.3,5.5,.409,5.3,6.0,.876,0.5,3.6,4.0,6.4,2.5,0.3,2.7,2.4
2014,37,Tyler Stone,SEMO,30,33.5,19.3,7.4,13.7,.544,0.8,2.3,.338,3.6,5.1,.712,2.4,7.0,9.5,1.9,1.0,1.5,1.7,2.8
2014,38,Davion Berry,WEBER,31,33.2,19.2,5.3,11.3,.464,2.0,5.1,.389,6.7,8.2,.823,0.4,3.8,4.2,3.9,1.0,0.2,2.8,2.3
2014,39,Elfrid Payton,LA,35,35.9,19.2,6.8,13.3,.509,0.4,1.5,.259,5.3,8.6,.609,2.3,3.7,6.0,5.9,2.3,0.6,3.6,2.4
2014,40,Troy Huff,UND,34,29.2,19.2,6.2,13.7,.450,1.2,4.1,.302,5.6,7.4,.760,2.8,4.0,6.8,1.2,2.3,0.3,1.9,1.7
2014,41,Jabari Parker,DUKE,35,30.7,19.1,6.7,14.3,.473,1.1,3.0,.358,4.6,6.1,.748,3.0,5.7,8.7,1.2,1.1,1.2,2.3,2.4
2014,42,"Sidney Sanders, Jr.",FDU,31,33.6,19.1,6.5,15.7,.416,1.0,2.9,.348,5.1,6.8,.752,1.0,2.7,3.8,5.8,2.2,0.0,2.5,2.7
2014,43,David Brown,WMY,33,34.1,19.1,5.3,13.0,.411,2.4,7.5,.324,6.0,7.8,.771,0.6,3.0,3.5,1.8,1.4,0.2,2.8,2.8
2014,44,Stephen Croone,FRMN,30,33.2,19.1,5.8,12.5,.468,1.0,3.1,.323,6.4,8.5,.750,0.3,4.1,4.4,3.7,1.7,0.3,3.6,2.1
2014,45,Chris Denson,AUB,30,32.0,19.1,6.2,13.5,.461,0.7,2.8,.265,5.9,8.9,.657,1.2,3.1,4.3,2.4,1.0,0.1,1.8,2.1
2014,46,De'Mon Brooks,DAV,27,26.8,19.0,6.4,10.9,.586,0.5,1.1,.452,5.7,7.7,.744,2.2,4.9,7.1,1.4,0.7,0.8,2.2,3.5
2014,47,Marshall Henderson,MISS,30,31.1,19.0,5.7,16.2,.353,4.3,12.6,.342,3.3,4.0,.817,0.3,1.6,1.9,2.0,1.5,0.1,1.8,1.7
2014,48,Jarekious Bradley,SEMO,32,31.3,19.0,6.8,13.7,.498,2.3,6.3,.373,3.0,3.9,.776,1.5,4.8,6.3,1.6,1.2,0.9,1.8,3.0
2014,49,Pablo Bertone,FAU,30,33.8,19.0,6.9,15.3,.451,1.7,5.2,.335,3.5,4.8,.727,0.7,3.2,3.9,2.1,1.3,0.1,2.8,2.7
2014,50,Q.J. Peterson,VMI,35,32.9,19.0,6.2,15.7,.397,2.2,7.0,.320,4.3,5.7,.758,1.8,3.8,5.6,2.1,1.7,0.3,2.2,2.3
2014,51,Justin Black,MORST,31,34.0,18.9,6.5,14.3,.452,1.7,5.7,.294,4.4,7.3,.600,1.7,3.4,5.1,2.8,1.8,0.1,3.2,2.9
2014,52,Joe Young,OREG,34,31.1,18.9,6.1,12.6,.480,2.2,5.4,.415,4.6,5.2,.881,0.8,2.1,2.8,1.9,1.3,0.0,1.1,1.4
2014,53,Dyami Starks,BRYNT,30,36.3,18.9,6.4,15.5,.416,2.9,8.0,.368,3.1,3.6,.860,0.8,2.5,3.4,2.0,1.1,0.0,1.9,2.2
2014,54,Rodney Glasgow,VMI,35,36.9,18.9,6.6,13.8,.480,2.5,6.2,.396,3.1,3.6,.873,0.9,3.1,4.0,5.9,1.3,0.0,1.8,1.7
2014,55,Kareem Jamar,MONT,30,36.2,18.8,6.1,12.9,.472,1.5,4.3,.349,5.2,7.3,.712,0.8,4.8,5.6,4.0,0.9,0.5,2.2,2.5
2014,56,George Beamon,MAN,30,30.9,18.8,5.7,13.9,.408,1.8,4.8,.371,5.7,6.9,.827,1.6,4.9,6.5,0.8,1.6,0.3,1.8,2.3
2014,57,Chasson Randle,STAN,36,35.1,18.8,6.1,12.8,.474,1.9,4.9,.389,4.8,6.2,.767,0.6,3.0,3.6,2.1,1.0,0.1,2.4,2.6
2014,58,Glenn Cosey,EKU,34,36.2,18.7,5.5,12.8,.430,3.4,7.9,.426,4.4,5.2,.841,0.6,2.6,3.2,4.2,1.2,0.1,1.9,1.7
2014,59,Marcus Thornton,W&M,32,35.6,18.7,6.1,14.0,.435,2.9,7.2,.403,3.6,4.7,.779,0.2,2.1,2.3,2.8,1.1,0.2,2.4,1.8
2014,60,Jordan McRae,TENN,37,32.2,18.7,6.0,13.8,.436,2.1,6.1,.351,4.5,5.7,.788,0.7,2.8,3.5,2.5,0.7,1.0,2.1,2.1
2014,61,Jerrelle Benimon,TOWS,36,36.3,18.7,6.3,11.8,.529,0.4,1.2,.318,5.8,8.1,.713,2.3,8.9,11.2,3.6,0.7,1.2,3.4,2.9
2014,62,Jahii Carson,ASU,33,35.4,18.6,6.4,14.8,.433,1.1,2.8,.391,4.7,6.6,.719,0.7,3.3,4.0,4.6,0.7,0.1,3.5,2.2
2014,63,Alex Francis,BRYNT,32,36.0,18.6,7.0,12.2,.577,0.0,0.0,.000,4.5,7.4,.614,2.7,5.5,8.2,1.4,1.2,0.8,3.0,2.9
2014,64,Desmar Jackson,SOILL,33,32.9,18.6,6.4,13.8,.466,0.7,2.5,.268,5.1,6.5,.780,1.5,4.0,5.5,2.1,2.4,0.4,3.0,2.8
2014,65,Shawn Long,LA,34,29.4,18.6,7.0,13.5,.522,1.0,2.3,.423,3.5,5.2,.674,3.6,6.8,10.4,0.6,0.7,2.7,2.1,3.5
2014,66,Anthony Ireland,LOYMR,32,35.8,18.5,6.0,14.7,.407,1.3,4.2,.308,5.3,6.5,.817,1.2,2.5,3.7,5.3,1.6,0.1,2.8,2.3
2014,67,Javon McCrea,BUFF,29,32.0,18.5,7.0,12.4,.561,0.0,0.1,.500,4.6,6.8,.667,3.9,6.0,9.9,2.2,1.5,2.2,2.4,3.2
2014,68,Trevor Releford,UA,31,34.8,18.5,6.0,12.2,.496,2.3,5.9,.393,4.1,4.9,.848,0.6,2.9,3.5,3.1,2.2,0.1,2.6,2.7
2014,69,Olivier Hanlan,BOS,32,36.3,18.5,5.4,12.1,.447,1.9,5.5,.347,5.8,7.1,.811,0.4,3.1,3.4,2.9,0.8,0.1,2.4,2.6
