BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
137,Georgia Tech Yellow Jackets,ACC,20-Dec,1.4,-1.1,2.5,2022,,,,,
138,Utah Utes,Pac-12,20-Nov,1.4,2,-0.6,2022,,,,,
139,Georgia State Panthers,Sun Belt,18-11,1.4,-0.9,2.3,2022,,,,,
140,Oakland Golden Grizzlies,Horizon,20-12,1.4,1.5,-0.1,2022,,,,,
141,Coastal Carolina Chanticleers,Sun Belt,19-14,1.3,0.3,1,2022,,,,,
142,Abilene Christian Wildcats,WAC,25-11,1.2,-0.1,1.3,2022,,,,,
143,North Dakota State Bison,Summit,23-10,1.2,1.1,0.1,2022,,,,,
144,Sam Houston Bearkats,WAC,19-14,1.2,-1.1,2.3,2022,,,,,
145,Butler Bulldogs,Big East,14-19,1.1,-0.9,2.1,2022,,,,,
146,Charleston Cougars,CAA,17-15,1.1,0.7,0.4,2022,,,,,
147,South Alabama Jaguars,Sun Belt,21-12,1.1,0,1.1,2022,,,,,
148,Florida Atlantic Owls,CUSA,19-15,1.1,1.6,-0.5,2022,,,,,
149,Delaware Blue Hens,CAA,22-13,1.1,2.5,-1.4,2022,,,,,
150,Winthrop Eagles,Big South,23-9,1.1,2.2,-1.1,2022,,,,,
151,Jacksonville Dolphins,ASUN,21-10,1.1,-1.3,2.4,2022,,,,,
152,Norfolk State Spartans,MEAC,24-7,1,-0.2,1.2,2022,,,,,
153,Drexel Dragons,CAA,15-14,0.9,1.8,-0.9,2022,,,,,
154,UC Santa Barbara Gauchos,Big West,17-11,0.9,1.5,-0.7,2022,,,,,
155,Wright State Raiders,Horizon,22-14,0.8,2.3,-1.5,2022,,,,,
156,Southern Illinois Salukis,MVC,16-15,0.8,-0.9,1.7,2022,,,,,
157,VMI Keydets,Southern,16-16,0.8,4.7,-3.9,2022,,,,,
158,Missouri Tigers,SEC,21-Dec,0.8,-0.3,1,2022,,,,,
159,Yale Bulldogs,Ivy,19-12,0.7,-1.4,2.1,2022,,,,,
160,Gardner-Webb Runnin' Bulldogs,Big South,18-13,0.6,-2.5,3.1,2022,,,,,
161,Navy Midshipmen,Patriot,21-11,0.6,-3.8,4.4,2022,,,,,
162,Nevada Wolf Pack,Mountain West,13-18,0.6,1,-0.4,2022,,,,,
163,UNC Asheville Bulldogs,Big South,17-15,0.5,1,-0.4,2022,,,,,
164,Tulsa Golden Hurricane,American,20-Nov,0.5,0.8,-0.3,2022,,,,,
165,Appalachian State Mountaineers,Sun Belt,19-15,0.4,-1.2,1.6,2022,,,,,
166,Utah Valley Wolverines,WAC,20-12,0.2,-1.3,1.5,2022,,,,,
167,Niagara Purple Eagles,MAAC,14-16,0.2,-0.2,0.3,2022,,,,,
168,Montana State Bobcats,Big Sky,27-8,0.1,0.4,-0.3,2022,,,,,
169,Saint Joseph's Hawks,A-10,19-Nov,0.1,-1.2,1.3,2022,,,,,
170,Stephen F. Austin Lumberjacks,WAC,22-10,0,-1.6,1.6,2022,,,,,
171,Kansas City Roos,Summit,19-12,-0.1,-0.7,0.6,2022,,,,,
172,Bryant Bulldogs,NEC,22-10,-0.2,0.6,-0.7,2022,,,,,
173,Cleveland State Vikings,Horizon,20-11,-0.2,0.6,-0.8,2022,,,,,
174,East Carolina Pirates,American,15-15,-0.3,-0.4,0,2022,,,,,
175,UTEP Miners,CUSA,20-14,-0.3,-1,0.6,2022,,,,,
176,Cal State Fullerton Titans,Big West,21-11,-0.4,0.7,-1.1,2022,,,,,
177,Georgetown Hoyas,Big East,25-Jun,-0.4,1.2,-1.6,2022,,,,,
178,Texas Southern Tigers,SWAC,19-13,-0.4,-2.5,2.1,2022,,,,,
179,Northern Kentucky Norse,Horizon,20-12,-0.5,-0.4,-0.1,2022,,,,,
180,Bellarmine Knights,ASUN,20-13,-0.5,3.5,-4,2022,,,,,
181,UNC Wilmington Seahawks,CAA,27-9,-0.6,0.6,-1.2,2022,,,,,
182,Fairfield Stags,MAAC,15-18,-0.6,-0.9,0.3,2022,,,,,
183,Fordham Rams,A-10,16-16,-0.7,-5.2,4.5,2022,,,,,
184,UNC Greensboro Spartans,Southern,17-15,-0.7,-1.7,1,2022,,,,,
185,Nicholls Colonels,Southland,21-12,-0.7,-0.4,-0.3,2022,,,,,
186,Weber State Wildcats,Big Sky,21-12,-0.9,0.5,-1.3,2022,,,,,
187,Portland Pilots,WCC,19-15,-0.9,-0.1,-0.8,2022,,,,,
188,Massachusetts Minutemen,A-10,15-17,-0.9,5.2,-6.1,2022,,,,,
189,Hawai'i Rainbow Warriors,Big West,17-11,-0.9,-0.6,-0.3,2022,,,,,
190,Florida Gulf Coast Eagles,ASUN,22-12,-1.1,1.8,-2.9,2022,,,,,
191,Old Dominion Monarchs,CUSA,13-19,-1.1,-0.9,-0.3,2022,,,,,
192,Cornell Big Red,Ivy,15-11,-1.2,0.6,-1.9,2022,,,,,
193,Southern Utah Thunderbirds,Big Sky,23-12,-1.3,1.3,-2.6,2022,,,,,
194,Louisiana Ragin' Cajuns,Sun Belt,16-15,-1.3,-1.8,0.5,2022,,,,,
195,James Madison Dukes,CAA,15-14,-1.4,0.3,-1.7,2022,,,,,
196,South Dakota Coyotes,Summit,19-12,-1.4,2,-3.4,2022,,,,,
197,Long Beach State Beach,Big West,20-13,-1.5,-0.7,-0.8,2022,,,,,
198,UC Riverside Highlanders,Big West,16-12,-1.6,-2.5,0.9,2022,,,,,
199,Pittsburgh Panthers,ACC,21-Nov,-1.7,-2.2,0.5,2022,,,,,
200,Marist Red Foxes,MAAC,14-16,-1.8,-1.5,-0.3,2022,,,,,
201,Boston University Terriers,Patriot,22-13,-1.8,1.8,-3.5,2022,,,,,
202,Mercer Bears,Southern,16-17,-1.8,0.7,-2.5,2022,,,,,
203,East Tennessee State Buccaneers,Southern,15-17,-1.9,2.3,-4.2,2022,,,,,
204,Southern Jaguars,SWAC,17-14,-1.9,-3.7,1.7,2022,,,,,
205,Troy Trojans,Sun Belt,20-12,-1.9,-3.2,1.3,2022,,,,,
206,Purdue Fort Wayne Mastodons,Horizon,21-12,-1.9,-1.5,-0.4,2022,,,,,
207,Charlotte 49ers,CUSA,17-14,-1.9,1.2,-3.1,2022,,,,,
208,Georgia Bulldogs,SEC,26-Jun,-2,2.1,-4,2022,,,,,
209,Campbell Fighting Camels,Big South,16-13,-2.1,-1.1,-0.9,2022,,,,,
210,Howard Bison,MEAC,16-13,-2.1,-1.4,-0.7,2022,,,,,
211,New Hampshire Wildcats,Am. East,15-13,-2.1,0.9,-3,2022,,,,,
212,Brown Bears,Ivy,13-16,-2.1,-2.3,0.2,2022,,,,,
213,Detroit Mercy Titans,Horizon,14-16,-2.1,2.4,-4.6,2022,,,,,
214,Arkansas State Red Wolves,Sun Belt,18-11,-2.2,-2,-0.2,2022,,,,,
