BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
152,Vanderbilt Commodores,SEC,23-Sep,-0.7,1.7,0.9,2019,,,,,
153,Northern Illinois Huskies,MAC,17-17,1.6,-0.7,0.9,2019,,,,,
154,Pepperdine Waves,WCC,16-18,2.1,-1.5,0.6,2019,,,,,
155,Samford Bulldogs,Southern,17-16,0.7,-0.1,0.6,2019,,,,,
156,Northern Colorado Bears,Big Sky,21-11,1.2,-0.6,0.6,2019,,,,,
157,Coastal Carolina Chanticleers,Sun Belt,17-17,1.8,-1.3,0.6,2019,,,,,
158,Purdue Fort Wayne Mastodons,Summit,18-15,3.2,-2.7,0.6,2019,,,,,
159,Kent State Golden Flashes,MAC,22-11,2.3,-1.8,0.5,2019,,,,,
160,Miami (OH) RedHawks,MAC,15-17,-0.3,0.7,0.4,2019,,,,,
161,Lehigh Mountain Hawks,Patriot,20-11,3.1,-2.8,0.3,2019,,,,,
162,Duquesne Dukes,A-10,19-13,0.3,-0.1,0.2,2019,,,,,
163,Omaha Mavericks,Summit,21-11,4.4,-4.3,0.1,2019,,,,,
164,Winthrop Eagles,Big South,18-12,2.5,-2.6,-0.1,2019,,,,,
165,Marshall Thundering Herd,CUSA,23-14,1.7,-1.8,-0.2,2019,,,,,
166,Campbell Fighting Camels,Big South,20-13,2.4,-2.5,-0.2,2019,,,,,
167,Wake Forest Demon Deacons,ACC,20-Nov,0.3,-0.5,-0.2,2019,,,,,
168,Presbyterian Blue Hose,Big South,20-16,2.6,-2.9,-0.2,2019,,,,,
169,Charleston Southern Buccaneers,Big South,18-16,-1.9,1.7,-0.3,2019,,,,,
170,UAB Blazers,CUSA,20-15,0.7,-1,-0.4,2019,,,,,
171,Bradley Braves,MVC,20-15,-2,1.6,-0.4,2019,,,,,
172,Missouri State Bears,MVC,16-16,-0.1,-0.3,-0.4,2019,,,,,
173,Princeton Tigers,Ivy,16-12,-2.6,2.2,-0.5,2019,,,,,
174,Richmond Spiders,A-10,13-20,3.1,-3.6,-0.5,2019,,,,,
175,Saint Joseph's Hawks,A-10,14-19,0.8,-1.5,-0.6,2019,,,,,
176,Hampton Pirates,Big South,18-17,0.7,-1.3,-0.6,2019,,,,,
177,NJIT Highlanders,ASUN,22-13,-1.7,0.9,-0.8,2019,,,,,
178,Iona Gaels,MAAC,17-16,2.4,-3.1,-0.8,2019,,,,,
179,Hartford Hawks,Am. East,18-15,2.3,-3.1,-0.8,2019,,,,,
180,Louisiana Ragin' Cajuns,Sun Belt,19-13,1.9,-2.7,-0.8,2019,,,,,
181,Rider Broncs,MAAC,16-15,-0.7,-0.2,-0.9,2019,,,,,
182,New Mexico Lobos,Mountain West,14-18,-0.3,-0.6,-0.9,2019,,,,,
183,Oakland Golden Grizzlies,Horizon,16-17,2.9,-3.9,-1,2019,,,,,
184,UT Arlington Mavericks,Sun Belt,17-16,-3.3,2.3,-1,2019,,,,,
185,Green Bay Phoenix,Horizon,21-17,0.2,-1.2,-1.1,2019,,,,,
186,Sam Houston Bearkats,Southland,21-12,0,-1,-1.1,2019,,,,,
187,Mercer Bears,Southern,20-Nov,-0.4,-0.7,-1.1,2019,,,,,
188,Texas Southern Tigers,SWAC,24-14,1.6,-2.7,-1.1,2019,,,,,
189,American University Eagles,Patriot,15-15,-1.3,0.1,-1.1,2019,,,,,
190,Eastern Michigan Eagles,MAC,15-17,-1.2,0,-1.2,2019,,,,,
191,Cal State Fullerton Titans,Big West,16-18,-2.4,1.2,-1.2,2019,,,,,
192,Dartmouth Big Green,Ivy,19-Nov,-0.2,-1.1,-1.2,2019,,,,,
193,North Dakota State Bison,Summit,19-16,2.2,-3.7,-1.5,2019,,,,,
194,Lamar Cardinals,Southland,20-13,-0.9,-0.6,-1.5,2019,,,,,
195,Northern Iowa Panthers,MVC,16-18,-1.8,0.3,-1.5,2019,,,,,
196,Fairleigh Dickinson Knights,NEC,21-14,1.3,-2.9,-1.5,2019,,,,,
197,Colorado State Rams,Mountain West,20-Dec,2.8,-4.4,-1.5,2019,,,,,
198,Weber State Wildcats,Big Sky,18-15,-0.5,-1,-1.6,2019,,,,,
199,IUPUI Jaguars,Horizon,16-17,-0.9,-0.7,-1.6,2019,,,,,
200,Appalachian State Mountaineers,Sun Belt,21-Nov,2,-3.8,-1.9,2019,,,,,
201,Massachusetts Minutemen,A-10,21-Nov,0.3,-2.3,-1.9,2019,,,,,
202,UMBC Retrievers,Am. East,21-13,-4.2,2.2,-2,2019,,,,,
203,Columbia Lions,Ivy,18-Oct,-1.2,-0.9,-2.1,2019,,,,,
204,Seattle U Redhawks,WAC,18-15,-1.3,-0.9,-2.2,2019,,,,,
205,UTSA Roadrunners,CUSA,17-15,-0.5,-1.8,-2.2,2019,,,,,
206,Florida Atlantic Owls,CUSA,17-16,-3.8,1.5,-2.3,2019,,,,,
207,Hawai'i Rainbow Warriors,Big West,18-13,0.2,-2.6,-2.4,2019,,,,,
208,Ohio Bobcats,MAC,14-17,-3.6,1.2,-2.4,2019,,,,,
209,Santa Clara Broncos,WCC,16-15,-2.2,-0.2,-2.5,2019,,,,,
210,California Baptist Lancers,WAC,16-15,0.4,-2.9,-2.5,2019,,,,,
