BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
103,Syracuse Orange,ACC,17-15,4.1,3.1,0.9,2023,,,,,
104,Ole Miss Rebels,SEC,21-Dec,4,1,3,2023,,,,,
105,South Alabama Jaguars,Sun Belt,19-16,3.9,1.9,2,2023,,,,,
106,Tulane Green Wave,American,20-11,3.9,3.2,0.7,2023,,,,,
107,Nebraska Cornhuskers,Big Ten,16-16,3.7,0.8,2.9,2023,,,,,
108,UNC Greensboro Spartans,Southern,20-12,3.7,-0.8,4.5,2023,,,,,
109,Wichita State Shockers,American,17-15,3.6,0.7,3,2023,,,,,
110,Charlotte 49ers,CUSA,22-14,3.5,3,0.5,2023,,,,,
111,Montana State Bobcats,Big Sky,25-10,3.4,1.2,2.2,2023,,,,,
112,Southern Utah Thunderbirds,WAC,24-13,3.4,3.2,0.2,2023,,,,,
113,Washington Huskies,Pac-12,16-16,3.3,-0.3,3.6,2023,,,,,
114,Youngstown State Penguins,Horizon,24-10,3.2,5.5,-2.4,2023,,,,,
115,Temple Owls,American,16-16,3.1,1.2,1.9,2023,,,,,
116,Ohio Bobcats,MAC,19-14,3,4,-0.9,2023,,,,,
117,Towson Tigers,CAA,21-12,3,2.4,0.6,2023,,,,,
118,Southern Miss Golden Eagles,Sun Belt,25-8,3,0.6,2.4,2023,,,,,
119,Belmont Bruins,MVC,21-11,3,3.8,-0.9,2023,,,,,
120,San José State Spartans,Mountain West,21-14,2.9,2.4,0.5,2023,,,,,
121,Eastern Washington Eagles,Big Sky,23-11,2.9,4.2,-1.3,2023,,,,,
122,Stephen F. Austin Lumberjacks,WAC,19-13,2.9,0.5,2.3,2023,,,,,
123,Butler Bulldogs,Big East,14-18,2.8,-1,3.9,2023,,,,,
124,San Francisco Dons,WCC,20-14,2.6,2.7,-0.1,2023,,,,,
125,Duquesne Dukes,A-10,20-13,2.5,2.2,0.3,2023,,,,,
126,Troy Trojans,Sun Belt,20-13,2.5,-0.3,2.9,2023,,,,,
127,Pennsylvania Quakers,Ivy,17-13,2.5,3.2,-0.7,2023,,,,,
128,Colorado State Rams,Mountain West,15-18,2.5,4.6,-2.1,2023,,,,,
129,Loyola Marymount Lions,WCC,19-12,2.4,2.1,0.3,2023,,,,,
130,UC Santa Barbara Gauchos,Big West,27-8,2.3,2.9,-0.6,2023,,,,,
131,Southern Illinois Salukis,MVC,23-10,2.2,-1.6,3.8,2023,,,,,
132,Fordham Rams,A-10,25-8,2.1,-1.3,3.4,2023,,,,,
133,Kennesaw State Owls,ASUN,26-9,2.1,-0.5,2.6,2023,,,,,
134,Middle Tennessee Blue Raiders,CUSA,19-14,2,0.2,1.9,2023,,,,,
135,Cornell Big Red,Ivy,17-11,1.8,3.9,-2,2023,,,,,
136,LSU Tigers,SEC,14-19,1.7,1.4,0.4,2023,,,,,
137,George Mason Patriots,A-10,20-13,1.7,-1,2.7,2023,,,,,
138,UC Riverside Highlanders,Big West,22-12,1.5,1,0.5,2023,,,,,
139,Hawai'i Rainbow Warriors,Big West,22-11,1.4,-1.8,3.2,2023,,,,,
140,Richmond Spiders,A-10,15-18,1.4,0.2,1.2,2023,,,,,
141,UNC Wilmington Seahawks,CAA,24-10,1.4,-0.3,1.7,2023,,,,,
142,DePaul Blue Demons,Big East,23-Oct,1.4,1.7,-0.3,2023,,,,,
143,Northern Kentucky Norse,Horizon,22-13,1.4,-0.9,2.3,2023,,,,,
144,Seattle U Redhawks,WAC,20-12,1.4,-1.4,2.7,2023,,,,,
145,UNC Asheville Bulldogs,Big South,27-8,1.3,-0.1,1.4,2023,,,,,
146,Cal State Fullerton Titans,Big West,20-13,1.2,-1.1,2.3,2023,,,,,
147,California Baptist Lancers,WAC,17-16,1.2,0.2,1.1,2023,,,,,
148,Georgia Bulldogs,SEC,16-16,1.2,-0.4,1.6,2023,,,,,
149,Radford Highlanders,Big South,21-15,1.1,0.1,1,2023,,,,,
150,North Carolina Central Eagles,MEAC,18-12,1.1,-1.7,2.8,2023,,,,,
151,Missouri State Bears,MVC,17-15,1.1,-0.4,1.5,2023,,,,,
152,Chattanooga Mocs,Southern,18-17,1.1,3,-1.9,2023,,,,,
153,Longwood Lancers,Big South,20-12,1.1,0.9,0.1,2023,,,,,
154,Eastern Kentucky Colonels,ASUN,23-14,1,0.6,0.4,2023,,,,,
155,South Florida Bulls,American,14-18,0.9,0.3,0.6,2023,,,,,
156,Bryant Bulldogs,Am. East,17-13,0.9,0.9,0,2023,,,,,
157,Notre Dame Fighting Irish,ACC,21-Nov,0.8,3.2,-2.4,2023,,,,,
158,Davidson Wildcats,A-10,16-16,0.8,1.2,-0.4,2023,,,,,
159,Gardner-Webb Runnin' Bulldogs,Big South,15-16,0.7,-2.5,3.2,2023,,,,,
160,Tarleton State Texans,WAC,17-17,0.7,-1.1,1.8,2023,,,,,
161,Samford Bulldogs,Southern,21-11,0.6,1.4,-0.8,2023,,,,,
162,Appalachian State Mountaineers,Sun Belt,16-16,0.5,-1.7,2.2,2023,,,,,
163,Lipscomb Bisons,ASUN,20-13,0.3,0.1,0.1,2023,,,,,
164,Ball State Cardinals,MAC,20-12,0.2,2.1,-1.9,2023,,,,,
165,Florida Gulf Coast Eagles,ASUN,17-15,0.2,1.1,-0.9,2023,,,,,
166,Wright State Raiders,Horizon,18-15,0.2,0.8,-0.6,2023,,,,,
167,Abilene Christian Wildcats,WAC,13-17,0.1,0.3,-0.2,2023,,,,,
168,Boston College Eagles,ACC,16-17,0,-1.1,1.1,2023,,,,,
169,Stetson Hatters,ASUN,17-14,-0.1,4.6,-4.7,2023,,,,,
170,Navy Midshipmen,Patriot,18-13,-0.1,-0.9,0.7,2023,,,,,
171,Utah Tech Trailblazers,WAC,14-19,-0.1,1.3,-1.4,2023,,,,,
172,Norfolk State Spartans,MEAC,22-11,-0.2,1.9,-2.1,2023,,,,,
173,South Dakota State Jackrabbits,Summit,19-13,-0.2,0,-0.2,2023,,,,,
174,Brown Bears,Ivy,14-13,-0.2,-2.9,2.6,2023,,,,,
175,Louisiana Tech Bulldogs,CUSA,15-18,-0.3,-0.2,0,2023,,,,,
176,Drexel Dragons,CAA,17-15,-0.3,-2.4,2.1,2023,,,,,
177,Old Dominion Monarchs,Sun Belt,19-12,-0.3,-1.4,1.1,2023,,,,,
178,Georgia Tech Yellow Jackets,ACC,15-18,-0.4,-0.7,0.3,2023,,,,,
179,Fresno State Bulldogs,Mountain West,20-Nov,-0.4,-2.3,1.9,2023,,,,,
180,UC Davis Aggies,Big West,18-14,-0.4,-0.8,0.3,2023,,,,,
181,Long Beach State Beach,Big West,17-16,-0.5,-0.6,0,2023,,,,,
182,New Mexico State Aggies,WAC,15-Sep,-0.6,0.1,-0.6,2023,,,,,
183,Rider Broncs,MAAC,16-14,-0.6,1.2,-1.8,2023,,,,,
184,Western Kentucky Hilltoppers,CUSA,17-16,-0.6,-0.6,-0.1,2023,,,,,
185,Harvard Crimson,Ivy,14-14,-0.7,-2.6,1.9,2023,,,,,
186,Saint Joseph's Hawks,A-10,16-17,-0.7,0,-0.8,2023,,,,,
187,Massachusetts Minutemen,A-10,15-16,-0.8,-2,1.1,2023,,,,,
188,Quinnipiac Bobcats,MAAC,20-12,-0.8,-0.2,-0.6,2023,,,,,
189,Montana Grizzlies,Big Sky,17-14,-0.9,1.4,-2.3,2023,,,,,
190,Detroit Mercy Titans,Horizon,14-19,-0.9,4,-4.9,2023,,,,,
191,Cleveland State Vikings,Horizon,21-14,-0.9,-0.4,-0.5,2023,,,,,
192,Siena Saints,MAAC,17-15,-1.1,-1.3,0.2,2023,,,,,
193,St. Bonaventure Bonnies,A-10,14-18,-1.1,-2.6,1.5,2023,,,,,
194,SMU Mustangs,American,22-Oct,-1.1,-1.5,0.4,2023,,,,,
195,East Carolina Pirates,American,16-17,-1.2,-1.4,0.2,2023,,,,,
196,Florida State Seminoles,ACC,23-Sep,-1.2,0.5,-1.7,2023,,,,,
197,Northern Iowa Panthers,MVC,14-18,-1.2,-0.4,-0.8,2023,,,,,
198,Portland Pilots,WCC,14-19,-1.2,3,-4.2,2023,,,,,
199,Purdue Fort Wayne Mastodons,Horizon,17-15,-1.2,-1.8,0.6,2023,,,,,
200,Grambling Tigers,SWAC,24-9,-1.3,-4,2.7,2023,,,,,
201,Air Force Falcons,Mountain West,14-18,-1.4,-0.3,-1,2023,,,,,
202,St. Thomas-Minnesota Tommies,Summit,19-14,-1.4,2.5,-3.9,2023,,,,,
203,Buffalo Bulls,MAC,15-17,-1.6,-1.1,-0.6,2023,,,,,
204,Georgia Southern Eagles,Sun Belt,17-16,-1.9,-3.5,1.6,2023,,,,,
205,Milwaukee Panthers,Horizon,22-12,-1.9,-1.3,-0.6,2023,,,,,
206,UTEP Miners,CUSA,14-18,-2,-4.2,2.2,2023,,,,,
207,Texas A&M-Corpus Christi Islanders,Southland,24-11,-2,0.8,-2.8,2023,,,,,
208,La Salle Explorers,A-10,15-19,-2,-1.1,-0.9,2023,,,,,
209,Mercer Bears,Southern,14-19,-2,-1.9,-0.2,2023,,,,,
210,Wyoming Cowboys,Mountain West,22-Sep,-2.1,0.8,-2.8,2023,,,,,
211,Western Carolina Catamounts,Southern,18-16,-2.1,-1,-1.1,2023,,,,,
212,Portland State Vikings,Big Sky,19-Dec,-2.2,-1,-1.1,2023,,,,,
213,Campbell Fighting Camels,Big South,16-18,-2.2,0.5,-2.7,2023,,,,,
214,Minnesota Golden Gophers,Big Ten,22-Sep,-2.2,-1.9,-0.4,2023,,,,,
215,George Washington Revolutionaries,A-10,16-16,-2.2,2.2,-4.4,2023,,,,,
216,Georgetown Hoyas,Big East,25-Jul,-2.3,-0.3,-2,2023,,,,,
217,Wofford Terriers,Southern,17-16,-2.4,2.6,-5,2023,,,,,
218,Murray State Racers,MVC,17-15,-2.5,0.2,-2.7,2023,,,,,
219,Weber State Wildcats,Big Sky,18-15,-2.5,-3.1,0.6,2023,,,,,
220,Jacksonville Dolphins,ASUN,13-16,-2.5,-2.8,0.2,2023,,,,,
221,Queens University Royals,ASUN,18-15,-2.6,1,-3.6,2023,,,,,
222,Rice Owls,CUSA,19-16,-2.6,1.6,-4.2,2023,,,,,
223,Delaware Blue Hens,CAA,17-16,-2.7,-1.2,-1.5,2023,,,,,
224,Robert Morris Colonials,Horizon,16-17,-2.9,-3.2,0.3,2023,,,,,
225,UMBC Retrievers,Am. East,18-14,-3,1.3,-4.3,2023,,,,,
226,Northern Arizona Lumberjacks,Big Sky,23-Dec,-3.1,0.9,-4,2023,,,,,
227,Howard Bison,MEAC,22-13,-3.1,-1.6,-1.5,2023,,,,,
228,Pepperdine Waves,WCC,22-Sep,-3.2,-0.7,-2.6,2023,,,,,
229,South Carolina Gamecocks,SEC,21-Nov,-3.3,-1.5,-1.8,2023,,,,,
230,Morehead State Eagles,OVC,22-12,-3.3,-2.8,-0.5,2023,,,,,
231,Texas State Bobcats,Sun Belt,16-19,-3.3,-1.4,-1.9,2023,,,,,
232,Northwestern State Demons,Southland,22-11,-3.4,-0.9,-2.5,2023,,,,,
233,North Florida Ospreys,ASUN,14-17,-3.4,1.6,-5.1,2023,,,,,
234,Oregon State Beavers,Pac-12,21-Nov,-3.4,-3.2,-0.2,2023,,,,,
235,Army Black Knights,Patriot,17-16,-3.4,-0.2,-3.2,2023,,,,,
236,Bellarmine Knights,ASUN,15-18,-3.5,-0.3,-3.2,2023,,,,,
237,Maryland-Eastern Shore Hawks,MEAC,18-13,-3.5,-5.9,2.4,2023,,,,,
238,Boston University Terriers,Patriot,15-17,-3.5,-3.3,-0.3,2023,,,,,
239,Sacramento State Hornets,Big Sky,14-18,-3.7,-2.1,-1.5,2023,,,,,
240,Pacific Tigers,WCC,15-18,-3.7,-0.2,-3.5,2023,,,,,
241,Fairfield Stags,MAAC,13-18,-3.7,-3.6,-0.1,2023,,,,,
242,Loyola Chicago Ramblers,A-10,21-Oct,-3.7,-1.6,-2.2,2023,,,,,
243,UT Arlington Mavericks,WAC,21-Nov,-3.8,-3.1,-0.7,2023,,,,,
244,Winthrop Eagles,Big South,15-17,-3.8,1.7,-5.5,2023,,,,,
245,Niagara Purple Eagles,MAAC,16-15,-3.9,-1.8,-2,2023,,,,,
246,SIU Edwardsville Cougars,OVC,19-14,-3.9,-2.6,-1.2,2023,,,,,
247,Jacksonville State Gamecocks,ASUN,13-18,-3.9,-1.7,-2.3,2023,,,,,
248,Rhode Island Rams,A-10,22-Sep,-4,-4.7,0.6,2023,,,,,
249,Florida International Panthers,CUSA,14-18,-4,-2.2,-1.8,2023,,,,,
250,South Carolina Upstate Spartans,Big South,16-16,-4.1,-3.3,-0.7,2023,,,,,
251,Canisius Golden Griffins,MAAC,20-Oct,-4.1,-1.8,-2.3,2023,,,,,
252,North Dakota State Bison,Summit,16-17,-4.1,-1.3,-2.8,2023,,,,,
253,Coastal Carolina Chanticleers,Sun Belt,20-Nov,-4.1,-0.4,-3.7,2023,,,,,
254,Nicholls Colonels,Southland,16-15,-4.1,-3.5,-0.6,2023,,,,,
255,North Alabama Lions,ASUN,18-15,-4.1,-1,-3.1,2023,,,,,
256,Dartmouth Big Green,Ivy,18-Oct,-4.2,-3.4,-0.8,2023,,,,,
257,Lafayette Leopards,Patriot,23-Nov,-4.2,-5.2,1,2023,,,,,
258,San Diego Toreros,WCC,20-Nov,-4.2,2.5,-6.7,2023,,,,,
259,UT Rio Grande Valley Vaqueros,WAC,15-17,-4.4,-1.2,-3.2,2023,,,,,
260,Southeast Missouri State Redhawks,OVC,19-17,-4.4,-2.5,-1.9,2023,,,,,
261,Oakland Golden Grizzlies,Horizon,13-19,-4.4,0.2,-4.6,2023,,,,,
262,Fairleigh Dickinson Knights,NEC,21-16,-4.6,1.3,-5.9,2023,,,,,
263,UT Martin Skyhawks,OVC,19-14,-4.6,-1.4,-3.2,2023,,,,,
264,East Tennessee State Buccaneers,Southern,20-Dec,-4.6,-2.7,-1.9,2023,,,,,
265,American University Eagles,Patriot,17-15,-4.7,-2.2,-2.5,2023,,,,,
266,Lehigh Mountain Hawks,Patriot,16-14,-4.8,-4.6,-0.2,2023,,,,,
267,Southern Jaguars,SWAC,15-17,-4.9,-4.6,-0.2,2023,,,,,
268,Northern Colorado Bears,Big Sky,20-Dec,-4.9,0.4,-5.3,2023,,,,,
269,Morgan State Bears,MEAC,15-16,-5,-5.5,0.5,2023,,,,,
270,New Hampshire Wildcats,Am. East,15-15,-5,-3.9,-1.1,2023,,,,,
271,Maine Black Bears,Am. East,13-17,-5,-3,-2,2023,,,,,
272,Bucknell Bison,Patriot,20-Dec,-5.2,-2.5,-2.7,2023,,,,,
273,Illinois State Redbirds,MVC,21-Nov,-5.3,-2.8,-2.4,2023,,,,,
274,Alcorn State Braves,SWAC,18-14,-5.4,-2.6,-2.8,2023,,,,,
275,Miami (OH) RedHawks,MAC,20-Dec,-5.4,-1.1,-4.3,2023,,,,,
276,Mount St. Mary's Mountaineers,MAAC,13-20,-5.5,-5.4,-0.2,2023,,,,,
277,Marist Red Foxes,MAAC,13-20,-5.6,-4.4,-1.2,2023,,,,,
278,UL Monroe Warhawks,Sun Belt,21-Nov,-5.6,-4.1,-1.5,2023,,,,,
279,Wagner Seahawks,NEC,15-13,-5.6,-5.8,0.2,2023,,,,,
280,Merrimack Warriors,NEC,18-16,-5.7,-9.1,3.4,2023,,,,,
281,SE Louisiana Lions,Southland,18-14,-5.7,-0.9,-4.8,2023,,,,,
282,Georgia State Panthers,Sun Belt,21-Oct,-5.7,-4.8,-0.9,2023,,,,,
283,Northern Illinois Huskies,MAC,13-19,-5.8,-3.7,-2,2023,,,,,
284,Bowling Green Falcons,MAC,20-Nov,-5.9,-0.6,-5.2,2023,,,,,
285,Idaho State Bengals,Big Sky,21-Nov,-5.9,-2.5,-3.4,2023,,,,,
286,Tennessee Tech Golden Eagles,OVC,16-17,-5.9,-2.7,-3.2,2023,,,,,
287,Manhattan Jaspers,MAAC,18-Dec,-5.9,-4.4,-1.5,2023,,,,,
288,Western Illinois Leathernecks,Summit,16-14,-6,-2.2,-3.8,2023,,,,,
289,Valparaiso Beacons,MVC,21-Nov,-6.1,-4,-2.1,2023,,,,,
290,Prairie View A&M Panthers,SWAC,13-19,-6.2,-6.1,0,2023,,,,,
291,Southern Indiana Screaming Eagles,OVC,16-17,-6.4,-2.3,-4.1,2023,,,,,
292,Charleston Southern Buccaneers,Big South,21-Oct,-6.5,-0.1,-6.3,2023,,,,,
293,Saint Peter's Peacocks,MAAC,14-18,-6.5,-5.4,-1.1,2023,,,,,
294,Idaho Vandals,Big Sky,22-Oct,-6.5,-0.5,-6,2023,,,,,
295,Chicago State Cougars,Indep.,20-Nov,-6.6,-1.4,-5.2,2023,,,,,
296,Sacred Heart Pioneers,NEC,16-17,-6.6,-4,-2.6,2023,,,,,
297,North Dakota Fighting Hawks,Summit,13-20,-6.7,-1.5,-5.2,2023,,,,,
298,Louisville Cardinals,ACC,28-Apr,-6.7,-3,-3.7,2023,,,,,
