Rank,Player,High School,Position,Height / Weight,Rating,Year,Star,Height,Weight
1,Anthony Davis,,PF,6-10 / 220,100,2011,5.0,6-10,220
2,Michael Kidd-Gilchrist,,SF,6-6 / 190,100,2011,5.0,6-6,190
3,Austin Rivers,,PG,6-3 / 175,100,2011,5.0,6-3,175
4,Bradley Beal,,SG,6-4 / 195,100,2011,5.0,6-4,195
5,Quincy Miller,,PF,6-8 / 193,100,2011,5.0,6-8,193
6,Marquis Teague,,PG,6-2 / 170,99,2011,5.0,6-2,170
7,Adonis Thomas,,SF,6-6 / 205,99,2011,5.0,6-6,205
8,James Michael McAdoo,,PF,6-8 / 205,99,2011,5.0,6-8,205
9,LeBryan Nash,,SF,6-7 / 230,99,2011,5.0,6-7,230
10,Kentavious Caldwell-Pope,,SG,6-6 / 187,99,2011,5.0,6-6,187
11,Cody Zeller,,PF,6-11 / 215,99,2011,5.0,6-11,215
12,P.J. Hairston,,SG,6-4 / 230,99,2011,5.0,6-4,230
13,Josiah Turner,,PG,6-3 / 175,99,2011,5.0,6-3,175
14,Myck Kabongo,,PG,6-2 / 160,99,2011,5.0,6-2,160
15,Jabari Brown,,SG,6-4 / 205,99,2011,5.0,6-4,205
16,DeAndre Daniels,,SF,6-8 / 180,98,2011,5.0,6-8,180
17,Chane Behanan,,PF,6-6 / 250,98,2011,5.0,6-6,250
18,Dorian Finney-Smith,,SF,6-7 / 189,98,2011,5.0,6-7,189
19,Michael Carter-Williams,,SG,6-4 / 175,98,2011,5.0,6-4,175
20,Branden Dawson,,SF,6-6 / 200,98,2011,5.0,6-6,200
21,Kyle Wiltjer,,PF,6-9 / 225,98,2011,5.0,6-9,225
22,Rakeem Christmas,,C,6-8 / 200,98,2011,5.0,6-8,200
23,B.J. Young,,SG,6-3 / 170,98,2011,5.0,6-3,170
24,Michael Gbinije,,SF,6-6 / 194,98,2011,5.0,6-6,194
25,Khem Birch,,PF,6-8 / 210,98,2011,5.0,6-8,210
26,Nick Johnson,,SG,6-2 / 175,97,2011,4.0,6-2,175
27,Jahii Carson,,PG,5-10 / 170,97,2011,4.0,5-10,170
28,D'Angelo Harrison,,SG,6-3 / 186,97,2011,4.0,6-3,186
29,Shannon Scott,,PG,6-2 / 175,97,2011,4.0,6-2,175
30,Wayne Blackshear,,SG,6-5 / 215,97,2011,4.0,6-5,215
31,Tony Wroten,,SG,6-4 / 195,97,2011,4.0,6-4,195
32,Quinn Cook,,PG,6-1 / 180,97,2011,4.0,6-1,180
33,Otto Porter,,PF,6-8 / 190,97,2011,4.0,6-8,190
34,Malcolm Gilbert,,C,6-11 / 230,97,2011,4.0,6-11,230
35,Ben McLemore,,SG,6-5 / 185,97,2011,4.0,6-5,185
36,Sir'Dominic Pointer,,SG,6-5 / 200,96,2011,4.0,6-5,200
37,Kevin Ware,,SG,6-3 / 170,96,2011,4.0,6-3,170
38,Norvel Pelle,,C,6-10 / 210,96,2011,4.0,6-10,210
39,Levi Randolph,,SG,6-5 / 190,96,2011,4.0,6-5,190
40,Mike Shaw,,SF,6-8 / 213,96,2011,4.0,6-8,213
41,Sheldon McClellan,,SG,6-5 / 185,96,2011,4.0,6-5,185
42,Maurice Harkless,,SF,6-6 / 180,96,2011,4.0,6-6,180
43,Johnny O'Bryant,,PF,6-9 / 235,95,2011,4.0,6-9,235
44,Adjehi Baru,,C,6-9 / 225,95,2011,4.0,6-9,225
45,Rodney Hood,,SF,6-7 / 180,95,2011,4.0,6-7,180
46,Sam Thompson,,SF,6-7 / 190,95,2011,4.0,6-7,190
47,Nick Faust,,SG,6-5 / 170,95,2011,4.0,6-5,170
48,LaQuinton Ross,,SF,6-8 / 225,95,2011,4.0,6-8,225
49,Ryan Boatright,,PG,5-10 / 150,95,2011,4.0,5-10,150
50,Derrick Gordon,,SG,6-3 / 187,95,2011,4.0,6-3,187
51,Jamal Branch,,SG,6-3 / 170,94,2011,4.0,6-3,170
52,Trevor Lacey,,PG,6-3 / 190,94,2011,4.0,6-3,190
53,Amir Williams,,C,6-9 / 220,94,2011,4.0,6-9,220
54,Norman Powell,,SG,6-3 / 175,94,2011,4.0,6-3,175
55,Michael Chandler,,C,6-10 / 220,94,2011,4.0,6-10,220
56,Chasson Randle,,SG,6-1 / 180,94,2011,4.0,6-1,180
57,Julien Lewis,,SG,6-3 / 185,94,2011,4.0,6-3,185
58,Mycheal Henry,,SF,6-5 / 190,94,2011,4.0,6-5,190
59,Zach Price,,C,6-11 / 235,93,2011,3.0,6-11,235
60,Tracy Abrams,,PG,6-1 / 175,93,2011,3.0,6-1,175
61,Amir Garrett,,SG,6-5 / 175,93,2011,3.0,6-5,175
62,Juan Anderson,,SF,6-6 / 200,93,2011,3.0,6-6,200
63,Chris Jones,,PG,5-10 / 180,93,2011,3.0,5-10,180
64,Dez Wells,,SG,6-4 / 220,93,2011,3.0,6-4,220
65,Tyler Adams,,C,6-8 / 260,93,2011,3.0,6-8,260
66,Julian Royal,,PF,6-8 / 225,93,2011,3.0,6-8,225
67,Angelo Chol,,PF,6-8 / 200,93,2011,3.0,6-8,200
68,Tyrone Johnson,,PG,6-3 / 185,93,2011,3.0,6-3,185
69,Dai-Jon Parker,,SG,6-3 / 170,92,2011,3.0,6-3,170
70,Antwan Space,,SF,6-7 / 203,92,2011,3.0,6-7,203
71,Cezar Guerrero,,PG,6-0 / 175,92,2011,3.0,6-0,175
72,Jonathan Holmes,,PF,6-8 / 232,92,2011,3.0,6-8,232
73,DeVille Smith,,PG,5-10 / 160,92,2011,3.0,5-10,160
74,Joseph Uchebo,,C,6-11 / 260,92,2011,3.0,6-11,260
75,Marshall Plumlee,,C,6-11 / 215,92,2011,3.0,6-11,215
76,Marquis Rankin,,PG,6-1 / 160,92,2011,3.0,6-1,160
77,Terry Whisnant,,SG,6-3 / 175,92,2011,3.0,6-3,175
78,Wes Saunders,,SF,6-6 / 205,92,2011,3.0,6-6,205
79,Hunter Mickelson,,PF,6-10 / 185,91,2011,3.0,6-10,185
80,Rashad Madden,,SG,6-5 / 175,91,2011,3.0,6-5,175
81,Nnanna Egwu,,C,6-10 / 225,91,2011,3.0,6-10,225
82,Ryan Anderson,,SF,6-9 / 215,91,2011,3.0,6-9,215
83,Rodney Cooper,,SF,6-5 / 196,91,2011,3.0,6-5,196
84,Malcolm Brogdon,,SG,6-5 / 200,91,2011,3.0,6-5,200
85,Tyler Harris,,SF,6-7.5 / 190,91,2011,3.0,6-7.5,190
86,Damien Leonard,,SG,6-4 / 180,91,2011,3.0,6-4,180
87,Deuce Bello,,SG,6-4 / 185,91,2011,3.0,6-4,185
88,Durand Johnson,,SF,6-6 / 191,91,2011,3.0,6-6,191
89,Achraf Yacoubou,,SG,6-3 / 200,90,2011,3.0,6-3,200
90,Carlton Brundidge,,SG,6-0 / 200,90,2011,3.0,6-0,200
91,Robert Brown,,SG,6-4 / 175,90,2011,3.0,6-4,175
92,Myles Mack,,PG,5-10 / 157,90,2011,3.0,5-10,157
93,Dwaun Anderson,,SG,6-3 / 170,90,2011,3.0,6-3,170
94,Desmond Hubert,,PF,6-9 / 195,90,2011,3.0,6-9,195
95,Shaquille Thomas,,SF,6-6 / 165,90,2011,3.0,6-6,165
96,Joe Coleman,,SG,6-4 / 200,90,2011,3.0,6-4,200
97,Kedren Johnson,,SG,6-4 / 200,90,2011,3.0,6-4,200
98,Shane Larkin,,PG,5-11 / 150,90,2011,3.0,5-11,150
99,Jordan Green,,SG,6-4 / 170,89,2011,3.0,6-4,170
100,Devin Langford,,SF,6-7 / 185,89,2011,3.0,6-7,185
101,Paris Roberts-Campbell,,SG,6-2 / 170,89,2011,3.0,6-2,170
102,Sterling Gibbs,,PG,6-1 / 180,89,2011,3.0,6-1,180
103,Mikael Hopkins,,PF,6-8 / 210,89,2011,3.0,6-8,210
104,Trey Burke,,PG,6-0 / 175,89,2011,3.0,6-0,175
105,Gary Bell,,PG,6-2 / 185,89,2011,3.0,6-2,185
106,TaShawn Thomas,,PF,6-7 / 210,89,2011,3.0,6-7,210
107,Naadir Tharpe,,PG,5-11 / 170,89,2011,3.0,5-11,170
108,Thomas Gipson,,PF,6-7 / 245,89,2011,3.0,6-7,245
109,Derrick Wilson,,PG,6-0 / 215,88,2011,3.0,6-0,215
110,Jarion Henry,,SF,6-7 / 200,88,2011,3.0,6-7,200
111,Jabarie Hinds,,PG,6-0 / 160,88,2011,3.0,6-0,160
112,Bernard Sullivan,,PF,6-7 / 215,88,2011,3.0,6-7,215
113,John Brown,,SF,6-6 / 185,88,2011,3.0,6-6,185
114,Andre Hollins,,PG,6-2 / 200,88,2011,3.0,6-2,200
115,Sidiki Johnson,,PF,6-8 / 220,88,2011,3.0,6-8,220
116,Nick Jacobs,,C,6-8 / 250,88,2011,3.0,6-8,250
117,Kevin Johnson,,C,6-9 / 250,88,2011,3.0,6-9,250
118,C.J. Barksdale,,PF,6-8 / 200,88,2011,3.0,6-8,200
119,Trey Davis,,SG,6-4 / 185,88,2011,3.0,6-4,185
120,Eric Katenda,,PF,6-8 / 210,88,2011,3.0,6-8,210
121,Jarrod Uthoff,,PF,6-8 / 195,88,2011,3.0,6-8,195
122,Derrick Randall,,C,6-9 / 220,88,2011,3.0,6-9,220
123,Angel Nunez,,SF,6-7 / 180,87,2011,3.0,6-7,180
124,Paul Jesperson,,SF,6-7 / 190,87,2011,3.0,6-7,190
125,DaVonte Lacy,,SG,6-3 / 190,87,2011,3.0,6-3,190
126,Tony Kimbro,,SF,6-5 / 180,87,2011,3.0,6-5,180
127,Jarvis Summers,,SG,6-4 / 185,87,2011,3.0,6-4,185
128,Spencer Dinwiddie,,PG,6-4 / 170,87,2011,3.0,6-4,170
129,Jernard Jarreau,,PF,6-10 / 200,87,2011,3.0,6-10,200
130,Trevor Cooney,,SG,6-3 / 180,87,2011,3.0,6-3,180
131,Pat Connaughton,,SF,6-5 / 190,87,2011,3.0,6-5,190
132,Martin Breunig,,PF,6-9 / 205,87,2011,3.0,6-9,205
133,Jabril Trawick,,SG,6-5 / 200,87,2011,3.0,6-5,200
134,Damion Lee,,SF,6-5 / 190,87,2011,3.0,6-5,190
135,Todd Mayo,,SG,6-3 / 200,87,2011,3.0,6-3,200
136,Brandon Mobley,,SF,6-8 / 200,87,2011,3.0,6-8,200
137,George Marshall,,PG,6-0 / 180,86,2011,3.0,6-0,180
138,Walter Pitchford,,C,6-10 / 205,86,2011,3.0,6-10,205
139,Austin Etherington,,SF,6-6 / 195,86,2011,3.0,6-6,195
140,Ryan Spangler,,PF,6-7 / 220,86,2011,3.0,6-7,220
141,Anthony Gill,,PF,6-8 / 211,86,2011,3.0,6-8,211
142,Willy Kouassi,,C,6-10 / 216,86,2011,3.0,6-10,216
143,Aaron Brown,,SF,6-4 / 200,86,2011,3.0,6-4,200
144,Mike Taylor,,SG,6-3 / 180,86,2011,3.0,6-3,180
145,Brandan Kearney,,SF,6-5 / 175,86,2011,3.0,6-5,175
146,Dennis Clifford,,C,6-10 / 215,86,2011,3.0,6-10,215
147,Kevin Pangos,,PG,6-1 / 92,86,2011,3.0,6-1,92
148,Stevie Taylor,,PG,5-8 / 150,85,2011,3.0,5-8,150
149,Jonathan Holton,,PF,6-7 / 205,85,2011,3.0,6-7,205
150,Markus Kennedy,,C,6-9 / 255,85,2011,3.0,6-9,255
151,Jalen Reynolds,,PF,6-8 / 210,85,2011,3.0,6-8,210
152,Kevin Thomas,,PF,6-7 / 205,85,2011,3.0,6-7,205
153,Anthony Fields,,PG,6-0 / 165,85,2011,3.0,6-0,165
154,Jamari Traylor,,PF,6-7 / 212,85,2011,3.0,6-7,212
155,Kyle Dranginis,,SG,6-4 / 165,85,2011,3.0,6-4,165
156,Aaron Ross,,SF,6-7 / 205,85,2011,3.0,6-7,205
157,David Rivers,,SF,6-6 / 185,85,2011,3.0,6-6,185
158,Jacob Lawson,,PF,6-7 / 220,85,2011,3.0,6-7,220
159,Aaron Cosby,,SG,6-3 / 190,85,2011,3.0,6-3,190
160,Hikeem Stewart,,SG,6-3 / 180,85,2011,3.0,6-3,180
161,LaDontae Henton,,SF,6-5 / 210,85,2011,3.0,6-5,210
162,Jerome Seagears,,PG,6-1 / 173,85,2011,3.0,6-1,173
163,Darrun Hilliard,,SG,6-5 / 175,85,2011,3.0,6-5,175
164,Nemanja Djurisic,,PF,6-8 / 235,85,2011,3.0,6-8,235
165,Braeden Anderson,,PF,6-8 / 215,85,2011,3.0,6-8,215
166,Tavon Sledge,,PG,5-9 / 175,84,2011,3.0,5-9,175
167,Keith Coleman,,C,6-8 / 240,84,2011,3.0,6-8,240
168,George Fant,,PF,6-6 / 225,84,2011,3.0,6-6,225
169,Damarcus Harrison,,SG,6-4 / 170,84,2011,3.0,6-4,170
170,Christian Kirk,,PF,6-7 / 200,84,2011,3.0,6-7,200
171,Bruce Barron,,PG,6-3 / 185,84,2011,3.0,6-3,185
172,David Kravish,,PF,6-9 / 200,84,2011,3.0,6-9,200
173,Daniel Gomis,,PF,6-9 / 215,84,2011,3.0,6-9,215
174,Travis Trice,,PG,5-11 / 160,84,2011,3.0,5-11,160
175,Ross Travis,,PF,6-7 / 205,84,2011,3.0,6-7,205
176,Bishop Daniels,,SG,6-2 / 175,84,2011,3.0,6-2,175
177,Dominique McKoy,,SF,6-7 / 205,84,2011,3.0,6-7,205
178,Grandy Glaze,,PF,6-6 / 225,84,2011,3.0,6-6,225
179,Anthony Walker,,C,6-9 / 215,84,2011,3.0,6-9,215
180,Damiene Cain,,PF,6-7 / 230,84,2011,3.0,6-7,230
181,Greg Sequele,,PF,6-9 / 225,84,2011,3.0,6-9,225
182,Octavius Ellis,,PF,6-8 / 185,83,2011,3.0,6-8,185
183,Jordan Tolbert,,PF,6-7 / 215,83,2011,3.0,6-7,215
184,Alonzo Nelson-Ododa,,PF,6-8 / 205,83,2011,3.0,6-8,205
185,Kelvin Amayo,,PG,6-3 / 195,83,2011,3.0,6-3,195
186,Mychal Ammons,,SF,6-5 / 220,83,2011,3.0,6-5,220
187,Macari Brooks,,SG,6-2 / 170,83,2011,3.0,6-2,170
188,Trey McDonald,,PF,6-9 / 224,83,2011,3.0,6-9,224
189,Askia Booker,,SG,6-0 / 170,83,2011,3.0,6-0,170
190,Kevin Wagner,,PG,5-8 / 150,83,2011,3.0,5-8,150
191,John Green,,SF,6-5 / 185,83,2011,3.0,6-5,185
192,Phil Greene,,PG,6-2 / 180,83,2011,3.0,6-2,180
193,Rod Days,,SF,6-6 / 180,83,2011,3.0,6-6,180
194,Angel Rodriguez,,PG,5-11 / 180,83,2011,3.0,5-11,180
195,Jalen Jones,,SF,6-6 / 202,83,2011,3.0,6-6,202
196,Austin Kuemper,,C,6-9 / 240,83,2011,3.0,6-9,240
197,Anthony Norris,,SF,6-7 / 220,82,2011,3.0,6-7,220
198,Davontay Grace,,PG,6-0 / 215,82,2011,3.0,6-0,215
199,Vaughn Gray,,SF,6-4 / 175,82,2011,3.0,6-4,175
200,Henry Brooks,,PF,6-7 / 220,82,2011,3.0,6-7,220
201,Traevon Jackson,,SG,6-2 / 190,82,2011,3.0,6-2,190
202,K.J. McDaniels,,SF,6-6 / 195,82,2011,3.0,6-6,195
203,Kameron Woods,,PF,6-8 / 190,82,2011,3.0,6-8,190
204,Terran Petteway,,SF,6-6 / 185,82,2011,3.0,6-6,185
205,Kyan Anderson,,PG,5-11 / 160,82,2011,3.0,5-11,160
206,Daniel (T.J.) Sapp,,SG,6-3 / 190,82,2011,3.0,6-3,190
207,Jamie Crockett,,SF,6-4 / 185,82,2011,3.0,6-4,185
208,Dominique Dunning,,SG,6-3 / 180,82,2011,3.0,6-3,180
209,Roosevelt Jones,,SF,6-4 / 195,82,2011,3.0,6-4,195
210,Malick Kone,,SG,6-6 / 185,81,2011,3.0,6-6,185
211,Lonnie Jackson,,SG,6-3 / 165,81,2011,3.0,6-3,165
212,Alexis Moore,,PG,6-1 / 165,81,2011,3.0,6-1,165
213,Wayne Martin,,PF,6-7 / 190,81,2011,3.0,6-7,190
214,Avery Dingman,,SF,6-6 / 215,81,2011,3.0,6-6,215
215,Shaquille Boga,,PG,6-5 / 175,81,2011,3.0,6-5,175
216,Charles McKinney,,SG,6-3 / 190,81,2011,3.0,6-3,190
217,Corey Hilliard,,PG,6-1 / 175,81,2011,3.0,6-1,175
218,Chase Fischer,,SG,6-3 / 165,81,2011,3.0,6-3,165
219,Alex Carr,,SG,6-2 / 180,81,2011,3.0,6-2,180
220,Keaton Miles,,SF,6-7 / 190,81,2011,3.0,6-7,190
221,Vinny Zollo,,PF,6-8 / 245,81,2011,3.0,6-8,245
222,Greg Whittington,,PF,6-8 / 195,81,2011,3.0,6-8,195
223,Aaron White,,PF,6-8 / 215,81,2011,3.0,6-8,215
224,Byron Wesley,,SF,6-5 / 190,81,2011,3.0,6-5,190
225,Cedrick McAfee,,SG,6-3 / 175,80,2011,3.0,6-3,175
226,Anthony Stitt,,PG,6-0 / 170,80,2011,3.0,6-0,170
227,Darius Nelson,,SF,6-5 / 220,80,2011,3.0,6-5,220
228,Greg Lewis,,PF,6-9 / 225,80,2011,3.0,6-9,225
229,Ike Nwamu,,SG,6-3 / 205,80,2011,3.0,6-3,205
230,Donnie Hale,,PF,6-8 / 195,80,2011,3.0,6-8,195
231,Ramon Eaton,,SF,6-7 / 180,80,2011,3.0,6-7,180
232,Darwin Davis,,PG,5-9 / 160,80,2011,3.0,5-9,160
233,John Cannon,,C,6-11 / 230,80,2011,3.0,6-11,230
234,Pat Forsythe,,C,6-10 / 210,80,2011,3.0,6-10,210
235,Frank Kaminsky,,C,6-10 / 220,80,2011,3.0,6-10,220
236,Tommie McCune,,SF,6-7 / 185,80,2011,3.0,6-7,185
237,Brett Kingma,,PG,6-1 / 171,80,2011,3.0,6-1,171
238,LaDarius White,,SG,6-4 / 205,80,2011,3.0,6-4,205
239,Freddie Wilson,,SG,6-2 / 180,80,2011,3.0,6-2,180
240,Devonta Abron,,PF,6-8 / 225,80,2011,3.0,6-8,225
241,Johan Van Zegeren,,PF,6-10 / 220,70,2011,3.0,6-10,220
242,Tyrell Corbin,,PG,6-0 / 170,70,2011,3.0,6-0,170
1,Nerlens Noel,,PF,6-11 / 215,101,2012,3.0,6-11,215
2,Shabazz Muhammad,,SG,6-5 / 205,100,2012,5.0,6-5,205
3,Kyle Anderson,,SF,6-9 / 215,100,2012,5.0,6-9,215
4,Steven Adams,,C,6-11 / 235,100,2012,5.0,6-11,235
5,Isaiah Austin,,PF,7-0 / 215,100,2012,5.0,7-0,215
6,Ricky Ledo,,SG,6-6 / 193,100,2012,5.0,6-6,193
7,Alex Poythress,,SF,6-7 / 215,99,2012,5.0,6-7,215
8,Sam Dekker,,SF,6-7 / 200,99,2012,5.0,6-7,200
9,Anthony Bennett,,PF,6-7 / 242,99,2012,5.0,6-7,242
10,Rodney Purvis,,SG,6-4 / 190,99,2012,5.0,6-4,190
11,Kris Dunn,,PG,6-2 / 170,99,2012,5.0,6-2,170
12,Grant Jerrett,,PF,6-10 / 230,99,2012,5.0,6-10,230
13,Marcus Smart,,PG,6-4 / 205,99,2012,5.0,6-4,205
14,Yogi Ferrell,,PG,6-0 / 170,99,2012,5.0,6-0,170
15,Glenn Robinson,,SF,6-6 / 185,99,2012,5.0,6-6,185
16,Kaleb Tarczewski,,C,7-0 / 225,98,2012,5.0,7-0,225
17,Rasheed Sulaimon,,SG,6-2 / 180,98,2012,5.0,6-2,180
18,Archie Goodwin,,SG,6-4 / 190,98,2012,5.0,6-4,190
19,T.J. Warren,,SF,6-8 / 225,98,2012,5.0,6-8,225
20,Devonta Pollard,,SF,6-8 / 205,98,2012,5.0,6-8,205
21,Tony Parker,,PF,6-9 / 280,98,2012,5.0,6-9,280
22,Robert Carter,,PF,6-9 / 240,98,2012,5.0,6-9,240
23,Winston Shepard,,SF,6-8 / 205,98,2012,5.0,6-8,205
24,D'Vauntes Smith-Rivera,,PG,6-3 / 210,98,2012,5.0,6-3,210
25,Danuel House,,SF,6-7 / 195,98,2012,5.0,6-7,195
26,Gary Harris,,SG,6-4 / 205,97,2012,4.0,6-4,205
27,Brandon Ashley,,PF,6-9 / 220,97,2012,4.0,6-9,220
28,Mitch McGary,,PF,6-10 / 255,97,2012,4.0,6-10,255
29,DaJuan Coleman,,C,6-10 / 280,97,2012,4.0,6-10,280
30,Marcus Paige,,PG,6-1 / 165,97,2012,4.0,6-1,165
31,Cameron Ridley,,C,6-9.5 / 246,97,2012,4.0,6-9.5,246
32,Cam Biedscheid,,SF,6-6 / 185,97,2012,4.0,6-6,185
33,Perry Ellis,,PF,6-8 / 230,97,2012,4.0,6-8,230
34,Semaj Christon,,PG,6-3 / 165,97,2012,4.0,6-3,165
35,Stephen Domingo,,SG,6-7 / 190,97,2012,4.0,6-7,190
36,JaKarr Sampson,,SF,6-8 / 205,96,2012,4.0,6-8,205
37,Shaq Goodwin,,PF,6-9 / 240,96,2012,4.0,6-9,240
38,Amile Jefferson,,SF,6-7 / 190,96,2012,4.0,6-7,190
39,Katin Reinhardt,,SG,6-5 / 175,96,2012,4.0,6-5,175
40,Dominic Artis,,PG,6-1 / 180,96,2012,4.0,6-1,180
41,Rico Gathers,,PF,6-7 / 250,96,2012,4.0,6-7,250
42,Jeremy Hollowell,,SF,6-8 / 200,96,2012,4.0,6-8,200
43,Solomon Poole,,SG,6-0 / 175,96,2012,4.0,6-0,175
44,Tyler Lewis,,PG,5-10 / 160,95,2012,4.0,5-10,160
45,Hanner Mosquera-Perea,,PF,6-8 / 210,95,2012,4.0,6-8,210
46,Shaquille Cleare,,C,6-9 / 270,95,2012,4.0,6-9,270
47,Willie Cauley-Stein,,C,6-11 / 221,95,2012,4.0,6-11,221
48,Brice Johnson,,PF,6-9 / 195,95,2012,4.0,6-9,195
49,Omar Calhoun,,SG,6-3 / 180,95,2012,4.0,6-3,180
50,Gabe York,,SG,6-2 / 175,95,2012,4.0,6-2,175
51,Adam Woodbury,,C,6-11 / 230,95,2012,4.0,6-11,230
52,Chris Obekpa,,C,6-9 / 220,95,2012,4.0,6-9,220
53,Jerami Grant,,SF,6-7 / 185,95,2012,4.0,6-7,185
54,Justin Anderson,,SF,6-6 / 210,95,2012,4.0,6-6,210
55,Josh Scott,,PF,6-9 / 210,95,2012,4.0,6-9,210
56,Daniel Ochefu,,C,6-9 / 225,95,2012,4.0,6-9,225
57,Joel James,,C,6-11 / 295,95,2012,4.0,6-11,295
58,Robert Upshaw,,C,7-0 / 275,95,2012,4.0,7-0,275
59,J.P. Tokoto,,SF,6-6 / 190,94,2012,4.0,6-6,190
60,Ryan Arcidiacono,,PG,6-2 / 180,94,2012,4.0,6-2,180
61,Montay Brandon,,PG,6-6 / 195,94,2012,4.0,6-6,195
62,Prince Ibeh,,C,6-10 / 225,94,2012,4.0,6-10,225
63,Torian Graham,,SG,6-4 / 177,94,2012,4.0,6-4,177
64,Jake Layman,,SF,6-8 / 190,94,2012,4.0,6-8,190
65,Jordan Adams,,SF,6-5 / 215,94,2012,4.0,6-5,215
66,Mike Tobey,,PF,7-0 / 225,94,2012,4.0,7-0,225
67,Elijah Macon,,PF,6-8 / 200,94,2012,4.0,6-8,200
68,Braxton Ogbueze,,PG,6-1 / 185,93,2012,3.0,6-1,185
69,Andrew White III,,SF,6-6 / 200,93,2012,3.0,6-6,200
70,J-Mychal Reese,,PG,6-2 / 170,93,2012,3.0,6-2,170
71,Anthony Perez,,SF,6-8 / 205,93,2012,3.0,6-8,205
72,Jordan Price,,SG,6-5 / 218,93,2012,3.0,6-5,218
73,Danrad Knowles,,PF,6-10 / 195,93,2012,3.0,6-10,195
74,A.J. Hammons,,C,7-0 / 278,93,2012,3.0,7-0,278
75,Aaron Thomas,,SG,6-5 / 190,93,2012,3.0,6-5,190
76,Georges Niang,,PF,6-7 / 240,93,2012,3.0,6-7,240
77,Codi Miller-McIntyre,,PG,6-2 / 190,93,2012,3.0,6-2,190
78,Savon Goodman,,PF,6-6 / 190,92,2012,3.0,6-6,190
79,James Robinson,,PG,6-3 / 195,92,2012,3.0,6-3,195
80,Evan Nolte,,SF,6-7 / 195,92,2012,3.0,6-7,195
81,Montrezl Harrell,,PF,6-8 / 230,92,2012,3.0,6-8,230
82,Nik Stauskas,,SG,6-5 / 200,92,2012,3.0,6-5,200
83,Marcus Georges-Hunt,,SF,6-6 / 212,92,2012,3.0,6-6,212
84,Xavier Johnson,,SF,6-7 / 190,92,2012,3.0,6-7,190
85,Zach Auguste,,PF,6-9 / 210,92,2012,3.0,6-9,210
86,Alex Caruso,,SG,6-5 / 175,92,2012,3.0,6-5,175
87,Charles Mitchell,,PF,6-7 / 250,92,2012,3.0,6-7,250
88,Ronnie Johnson,,PG,5-11 / 165,92,2012,3.0,5-11,165
89,Tyrone Wallace,,SG,6-4 / 170,92,2012,3.0,6-4,170
90,Rosco Allen,,PF,6-7 / 208,91,2012,3.0,6-7,208
91,Kellen Dunham,,SG,6-4 / 185,91,2012,3.0,6-4,185
92,Mike Gesell,,PG,6-1 / 175,91,2012,3.0,6-1,175
93,Kenny Kaminski,,PF,6-7 / 195,91,2012,3.0,6-7,195
94,Michael Frazier II,,SG,6-4 / 200,91,2012,3.0,6-4,200
95,Denzel Valentine,,SF,6-5 / 205,91,2012,3.0,6-5,205
96,Matt Costello,,PF,6-8 / 210,91,2012,3.0,6-8,210
97,Rapheal Davis,,SG,6-4 / 190,91,2012,3.0,6-4,190
98,Demarquise Johnson,,SG,6-5 / 195,91,2012,3.0,6-5,195
99,Martavious Newby,,SG,6-2 / 200,91,2012,3.0,6-2,200
100,Anrio Adams,,SG,6-4 / 195,91,2012,3.0,6-4,195
101,Malik Morgan,,SG,6-3 / 180,91,2012,3.0,6-3,180
102,Melvin Johnson,,SG,6-3 / 175,90,2012,3.0,6-3,175
103,Nino Jackson,,PG,6-0 / 160,90,2012,3.0,6-0,160
104,Demetrius Henry,,PF,6-8 / 200,90,2012,3.0,6-8,200
105,Je'lon Hornbeak,,SG,6-3 / 175,90,2012,3.0,6-3,175
106,Skylar Spencer,,PF,6-8 / 205,89,2012,3.0,6-8,205
107,Arnaud Adala Moto,,SF,6-6 / -,89,2012,3.0,6-6,-
108,Darrick Wood,,SG,6-4 / 180,89,2012,3.0,6-4,180
109,Jordan Goodman,,SF,6-8 / 190,89,2012,3.0,6-8,190
110,Jalen Reynolds,,PF,- / -,89,2012,3.0,-,-
111,Craig Sword,,SG,6-3 / 170,89,2012,3.0,6-3,170
112,Zach Peters,,PF,6-9 / 232,89,2012,3.0,6-9,232
113,Buddy Hield,,SG,6-4 / 190,89,2012,3.0,6-4,190
114,Marcus Holt,,PF,6-9 / 215,89,2012,3.0,6-9,215
115,L.J. Rose,,PG,6-3 / 188,89,2012,3.0,6-3,188
116,Jordan Hare,,PF,6-8 / 210,89,2012,3.0,6-8,210
117,DeOndre Haynes,,SG,6-2 / 175,89,2012,3.0,6-2,175
118,Grant Verhoeven,,PF,6-8 / 220,89,2012,3.0,6-8,220
119,Brandon Bolden,,C,6-9 / 205,89,2012,3.0,6-9,205
120,Thaddeus Hall,,SG,6-5 / 200,89,2012,3.0,6-5,200
121,Gavin Ware,,C,6-8 / 255,89,2012,3.0,6-8,255
122,Connor Lammert,,PF,6-9 / 215,89,2012,3.0,6-9,215
123,Wanaah Bail,,PF,6-7 / 190,89,2012,3.0,6-7,190
124,Jordan Loveridge,,SF,6-6 / 210,89,2012,3.0,6-6,210
125,Myles Davis,,SG,6-1 / 170,89,2012,3.0,6-1,170
126,Steve Taylor,,PF,6-7 / 190,89,2012,3.0,6-7,190
127,Kareem Canty,,PG,6-1 / 190,89,2012,3.0,6-1,190
128,Javan Felix,,PG,5-10 / 175,89,2012,3.0,5-10,175
