BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
164,Detroit Mercy Titans,Horizon,10-Dec,4.1,-4.2,-0.1,2021,,,,,
165,Nicholls Colonels,Southland,18-7,-0.4,0.2,-0.2,2021,,,,,
166,Iowa State Cyclones,Big 12,22-Feb,-0.8,0.6,-0.2,2021,,,,,
167,UTEP Miners,CUSA,12-Dec,-0.4,0.1,-0.3,2021,,,,,
168,Kansas City Roos,Summit,13-Nov,-1.8,1.5,-0.3,2021,,,,,
169,Wake Forest Demon Deacons,ACC,16-Jun,-0.2,-0.2,-0.4,2021,,,,,
170,Ball State Cardinals,MAC,13-Oct,0.1,-0.5,-0.4,2021,,,,,
171,Washington Huskies,Pac-12,21-May,-0.3,-0.1,-0.4,2021,,,,,
172,Hofstra Pride,CAA,13-10,2.3,-2.7,-0.4,2021,,,,,
173,Tulane Green Wave,American,13-Oct,-2.5,2,-0.5,2021,,,,,
174,Northeastern Huskies,CAA,9-Oct,-2.2,1.7,-0.5,2021,,,,,
175,Hartford Hawks,Am. East,15-9,-2.9,2.5,-0.5,2021,,,,,
176,East Carolina Pirates,American,11-Aug,-2.4,1.8,-0.6,2021,,,,,
177,UTSA Roadrunners,CUSA,15-11,2.3,-2.9,-0.6,2021,,,,,
178,South Dakota Coyotes,Summit,14-11,1.9,-2.5,-0.6,2021,,,,,
179,Appalachian State Mountaineers,Sun Belt,17-12,-1.5,0.9,-0.6,2021,,,,,
180,UAlbany Great Danes,Am. East,9-Jul,-0.8,0.1,-0.7,2021,,,,,
181,Army Black Knights,Patriot,10-Dec,-1.8,1,-0.8,2021,,,,,
182,Gardner-Webb Runnin' Bulldogs,Big South,15-Nov,0.8,-1.7,-0.9,2021,,,,,
183,VMI Keydets,Southern,13-12,2.3,-3.3,-0.9,2021,,,,,
184,South Florida Bulls,American,13-Sep,-0.9,-0.1,-1.1,2021,,,,,
185,Monmouth Hawks,MAAC,8-Dec,-1.1,0,-1.2,2021,,,,,
186,Northern Iowa Panthers,MVC,15-Oct,0.2,-1.4,-1.2,2021,,,,,
187,Texas State Bobcats,Sun Belt,18-7,-2.1,0.7,-1.4,2021,,,,,
188,Tarleton State Texans,WAC,10-Oct,-2,0.5,-1.5,2021,,,,,
189,Loyola Maryland Greyhounds,Patriot,11-Jun,-2,0.4,-1.6,2021,,,,,
190,Kansas State Wildcats,Big 12,20-Sep,-2.7,1,-1.7,2021,,,,,
191,Saint Peter's Peacocks,MAAC,14-11,-6.1,4.4,-1.7,2021,,,,,
192,Texas Southern Tigers,SWAC,17-9,-1.6,-0.1,-1.8,2021,,,,,
193,Canisius Golden Griffins,MAAC,6-Jul,-0.7,-1,-1.8,2021,,,,,
194,Cleveland State Vikings,Horizon,19-8,-2,0.2,-1.8,2021,,,,,
195,Elon Phoenix,CAA,9-Oct,-2.8,1,-1.8,2021,,,,,
196,Miami (OH) RedHawks,MAC,11-Dec,1.9,-3.8,-1.9,2021,,,,,
197,Montana Grizzlies,Big Sky,15-13,-2,0.1,-1.9,2021,,,,,
198,UMass Lowell River Hawks,Am. East,12-Nov,-0.3,-1.7,-2,2021,,,,,
199,Hawai'i Rainbow Warriors,Big West,10-Nov,-1.8,-0.3,-2.1,2021,,,,,
200,Austin Peay Governors,OVC,14-13,2,-4,-2.1,2021,,,,,
201,Stony Brook Seawolves,Am. East,14-Sep,-4.4,2.3,-2.1,2021,,,,,
202,Mount St. Mary's Mountaineers,NEC,11-Dec,-3.6,1.3,-2.2,2021,,,,,
203,South Alabama Jaguars,Sun Belt,17-11,1.2,-3.5,-2.3,2021,,,,,
204,Prairie View A&M Panthers,SWAC,16-5,-3.1,0.8,-2.3,2021,,,,,
205,Wagner Seahawks,NEC,13-7,-0.4,-2,-2.4,2021,,,,,
206,Campbell Fighting Camels,Big South,17-10,0.8,-3.2,-2.4,2021,,,,,
207,Fresno State Bulldogs,Mountain West,12-Dec,-2.1,-0.4,-2.5,2021,,,,,
208,Niagara Purple Eagles,MAAC,11-Sep,-0.9,-1.7,-2.5,2021,,,,,
209,UT Arlington Mavericks,Sun Belt,13-13,-2.3,-0.6,-2.8,2021,,,,,
210,UC Davis Aggies,Big West,8-Oct,-2.2,-0.6,-2.8,2021,,,,,
211,California Baptist Lancers,WAC,13-10,2.4,-5.3,-2.9,2021,,,,,
212,The Citadel Bulldogs,Southern,13-12,1.1,-4.2,-3.1,2021,,,,,
213,Charleston Cougars,CAA,10-Sep,0.7,-3.8,-3.1,2021,,,,,
214,Norfolk State Spartans,MEAC,17-8,-3,-0.1,-3.1,2021,,,,,
215,UNC Wilmington Seahawks,CAA,10-Jul,1.3,-4.4,-3.1,2021,,,,,
216,La Salle Explorers,A-10,16-Sep,-1.8,-1.5,-3.2,2021,,,,,
217,Sacramento State Hornets,Big Sky,12-Aug,0.8,-4,-3.2,2021,,,,,
218,Montana State Bobcats,Big Sky,13-10,-1.2,-2.1,-3.3,2021,,,,,
219,Morgan State Bears,MEAC,14-8,-1.7,-1.6,-3.3,2021,,,,,
220,New Hampshire Wildcats,Am. East,9-Oct,-2.8,-0.6,-3.3,2021,,,,,
221,UNC Asheville Bulldogs,Big South,10-Oct,-1.2,-2.2,-3.4,2021,,,,,
222,Rice Owls,CUSA,15-13,-0.4,-3,-3.4,2021,,,,,
223,Little Rock Trojans,Sun Belt,15-Nov,-1.6,-1.8,-3.4,2021,,,,,
224,Boston University Terriers,Patriot,11-Jul,-0.3,-3.1,-3.4,2021,,,,,
225,Northern Kentucky Norse,Horizon,14-11,0.4,-3.9,-3.4,2021,,,,,
226,San Diego Toreros,WCC,11-Mar,-3.5,0.1,-3.4,2021,,,,,
227,Seattle U Redhawks,WAC,11-Dec,-2.3,-1.2,-3.5,2021,,,,,
228,Louisiana Ragin' Cajuns,Sun Belt,17-9,-1.8,-1.8,-3.5,2021,,,,,
